_id__$oid,last_modified__$date,delivery_lat,assigned_delivery_boy_id,trash,created_at__$date,delivery_lon,outlet_id,order_status,status,order_id,order_status_id,preparation_time,committed_time,eta,time_of_delivery,arrival_time_duration,delivery_boy_assigning_time__$date,actual_preparaed_time,pickup_time,approve_time,reaching_time__$date,arrival_time__$date,outlet_distance_from_delivery_person,assigning_lat_lon__001,assigning_lat_lon__002,destination_km_distance,destination_journey_duration,total_distance_travel_for_delivery
5f34e3671d9476de72a32fe0,2020-08-13T13:05:46.103Z,22.4931982,23,0,2020-08-13T12:23:27.346Z,88.3319816,36,delivered,delivery boy assigned,69,6,20 minutes,12:50 PM,12:50 PM,1:05 PM,11 mins,2020-08-13T12:23:33.005Z,12:37 PM,12:45 PM,,,,,,,,,
5f34c24cf4b0010a63dd4948,2020-08-13T10:03:45.135Z,22.5857548,10,0,2020-08-13T10:02:12.345Z,88.4212853,3,delivered,delivery boy assigned,66,6,20 minutes,10:38 AM,10:38 AM,10:03 AM,33 mins,2020-08-13T10:02:48.063Z,10:03 AM,10:03 AM,,,,,,,,,
5f34e4dc32ad59989d739d6e,2020-08-13T13:52:54.603Z,22.4949609,26,0,2020-08-13T12:29:40.194Z,88.3191143,36,delivered,delivery boy assigned,70,6,20 minutes,12:53 PM,12:53 PM,1:52 PM,18 mins,2020-08-13T12:29:46.051Z,12:37 PM,1:46 PM,,,,,,,,,
5f34e617037d82e1a662cfc2,2020-08-13T13:59:02.749Z,22.4877066,21,0,2020-08-13T12:34:55.690Z,88.3208564,36,delivered,delivery boy assigned,71,6,20 minutes,12:40 PM,12:40 PM,1:59 PM,3 mins,2020-08-13T13:43:50.921Z,12:37 PM,1:56 PM,,,,,,,,,
5f34e815b9691e4862311711,2020-08-13T13:13:37.790Z,22.492011,21,0,2020-08-13T12:43:25.778Z,88.324846,36,delivered,delivery boy assigned,72,6,20 minutes,1:14 PM,1:14 PM,1:13 PM,26 mins,2020-08-13T12:46:01.518Z,12:44 PM,12:52 PM,,,,,,,,,
5f34ebf06792f143ef48f2fc,2020-08-13T13:26:25.102Z,22.4877066,21,0,2020-08-13T12:59:52.070Z,88.3208564,36,delivered,delivery boy assigned,79,6,20 minutes,1:07 PM,1:07 PM,1:26 PM,5 mins,2020-08-13T13:13:43.574Z,1:12 PM,1:20 PM,,,,,,,,,
5f34ebf36bed8d6f249e725c,2020-08-13T13:50:49.241Z,22.4877066,23,0,2020-08-13T12:59:55.810Z,88.3208564,36,delivered,delivery boy assigned,78,6,20 minutes,1:06 PM,1:06 PM,1:50 PM,4 mins,2020-08-13T13:26:48.090Z,1:06 PM,1:27 PM,,,,,,,,,
5f34ec108b626719ce5079d3,2020-08-13T13:26:44.822Z,22.4877066,23,0,2020-08-13T13:00:24.482Z,88.3208564,36,delivered,delivery boy assigned,76,6,20 minutes,1:07 PM,1:07 PM,1:26 PM,4 mins,2020-08-13T13:14:30.867Z,1:06 PM,1:14 PM,,,,,,,,,
5f34ec08114c1fd207785f77,2020-08-13T13:11:39.069Z,22.4877066,25,0,2020-08-13T13:00:16.610Z,88.3208564,36,delivered,delivery boy assigned,80,6,20 minutes,1:09 PM,1:09 PM,1:11 PM,6 mins,2020-08-13T13:05:22.484Z,1:00 PM,1:10 PM,,,,,,,,,
5f34ec0c6735d288ff03f18d,2020-08-13T13:14:23.808Z,22.4877066,25,0,2020-08-13T13:00:20.516Z,88.3208564,36,delivered,delivery boy assigned,77,6,20 minutes,1:07 PM,1:07 PM,1:14 PM,4 mins,2020-08-13T13:11:41.714Z,1:06 PM,1:13 PM,,,,,,,,,
5f34ec1eadf912c8279b5d50,2020-08-13T13:43:41.544Z,22.4877066,21,0,2020-08-13T13:00:38.386Z,88.3208564,36,delivered,delivery boy assigned,75,6,20 minutes,1:07 PM,1:07 PM,1:43 PM,4 mins,2020-08-13T13:26:30.654Z,1:06 PM,1:27 PM,,,,,,,,,
5f34ec240284645adeee1141,2020-08-13T13:23:51.262Z,22.4877066,25,0,2020-08-13T13:00:44.851Z,88.3208564,36,delivered,delivery boy assigned,74,6,20 minutes,1:08 PM,1:08 PM,1:23 PM,5 mins,2020-08-13T13:21:21.683Z,1:06 PM,1:22 PM,,,,,,,,,
5f34ed40bf2fe3fbd17b3b59,2020-08-13T13:14:28.103Z,22.4877066,23,0,2020-08-13T13:05:28.165Z,88.3208564,36,delivered,delivery boy assigned,81,6,20 minutes,1:15 PM,1:15 PM,1:14 PM,7 mins,2020-08-13T13:05:48.707Z,1:10 PM,1:10 PM,,,,,,,,,
